,0
236.0207954263,236.0207954263
780.1133147173,780.1133147173
281.2718534071,281.2718534071
309.1688593243,309.1688593243
297.056836433,297.056836433
436.1263862448,436.1263862448
218.203489835,218.203489835
268.1535826359,268.1535826359
270.1079839313,270.1079839313
210.0868442668,210.0868442668
307.0866308194,307.0866308194
308.0420294062,308.0420294062
372.0117792069,372.0117792069
508.4491277029,508.4491277029
218.010381733,218.010381733
564.1866470291,564.1866470291
555.2633716268,555.2633716268
227.9348652186,227.9348652186
231.640434733,231.640434733
401.8679407462,401.8679407462
530.2501155755,530.2501155755
257.2718866583,257.2718866583
443.3610065487,443.3610065487
701.3747618361,701.3747618361
228.9199659849,228.9199659849
522.1396466883,522.1396466883
307.0807551633,307.0807551633
254.223797712,254.223797712
283.3239341089,283.3239341089
335.3188469649,335.3188469649
303.1542594174,303.1542594174
411.2385824393,411.2385824393
350.5280150593,350.5280150593
438.9814121275,438.9814121275
369.995945944,369.995945944
400.1330164557,400.1330164557
782.1090439892,782.1090439892
213.9991080166,213.9991080166
206.9592544933,206.9592544933
592.3588303539,592.3588303539
392.0235874212,392.0235874212
326.1131891847,326.1131891847
286.2508146507,286.2508146507
264.0157017737,264.0157017737
288.0764174558,288.0764174558
500.3131242522,500.3131242522
308.0882687024,308.0882687024
312.1613599022,312.1613599022
323.0964979321,323.0964979321
236.0209552918,236.0209552918
408.1314773549,408.1314773549
624.0940406643,624.0940406643
271.2147682667,271.2147682667
355.0685462497,355.0685462497
265.6318939818,265.6318939818
207.3614515972,207.3614515972
431.2144991397,431.2144991397
348.1527718858,348.1527718858
271.1644730032,271.1644730032
521.0739917033,521.0739917033
616.1832343967,616.1832343967
783.1055138551,783.1055138551
398.1706129689,398.1706129689
440.0931035423,440.0931035423
234.1620018487,234.1620018487
555.2619993766,555.2619993766
342.1080925255,342.1080925255
292.1715269729,292.1715269729
228.9201317826,228.9201317826
229.2404957506,229.2404957506
380.0236191607,380.0236191607
315.2773514702,315.2773514702
495.3211172367,495.3211172367
204.0785989915,204.0785989915
447.1587962134,447.1587962134
452.3613644963,452.3613644963
408.0701958208,408.0701958208
252.2089273655,252.2089273655
303.1430505885,303.1430505885
307.0796969783,307.0796969783
257.1014814724,257.1014814724
382.0181418467,382.0181418467
429.8628424991,429.8628424991
270.0964025246,270.0964025246
255.2562733462,255.2562733462
442.1852146462,442.1852146462
220.1099486798,220.1099486798
284.1120951879,284.1120951879
207.3619285113,207.3619285113
339.1622605489,339.1622605489
226.1568216313,226.1568216313
780.1149089578,780.1149089578
356.214325224,356.214325224
555.2760287712,555.2760287712
399.134279732,399.134279732
203.0817397293,203.0817397293
